Date,Dividends
2012-06-13,0.543
2016-06-13,0.683
2012-09-12,0.568
2008-03-12,0.365
2004-06-11,0.3
2013-03-13,0.583
1998-12-11,0.34
2000-06-13,0.3
2017-03-13,0.718
2002-12-11,0.3
2012-12-12,0.568
1998-09-11,0.34
2015-06-11,0.65
2002-09-11,0.3
2011-06-13,0.518
2007-06-13,0.365
2007-12-12,0.365
1999-06-11,0.34
2007-09-12,0.365
2001-03-13,0.3
2009-12-11,0.405
2010-06-11,0.435
1997-09-11,0.34
2006-06-13,0.33
2005-03-11,0.33
2013-06-12,0.583
1997-12-11,0.34
2018-03-14,0.755
2009-09-11,0.405
2005-12-13,0.33
1997-09-29,0.33
2014-03-12,0.618
2005-09-13,0.33
2015-12-11,0.65
1999-09-13,0.34
2012-03-13,0.543
2016-03-11,0.683
1999-03-11,0.34
2011-12-13,0.518
2016-09-13,0.683
2011-03-11,0.493
2003-03-13,0.3
2019-12-13,0.793
2004-09-13,0.3
2008-12-19,0.365
2019-09-13,0.793
2000-03-13,0.34
1998-06-11,0.34
2015-09-11,0.65
2007-03-13,0.365
2003-06-12,0.3
2003-12-11,0.3
2020-03-13,0.833
2011-09-13,0.518
2003-09-11,0.3
2004-03-11,0.3
2016-12-13,0.683
2020-06-12,0.833
1999-12-13,0.34
2013-12-12,0.583
2014-06-12,0.618
2018-09-13,0.755
1996-12-11,0.34
1997-06-11,0.34
2001-09-12,0.3
2000-05-03,133.522
2014-09-11,0.618
1997-03-12,0.34
2006-09-13,0.33
2019-03-14,0.793
2004-12-13,0.3
2010-09-13,0.458
2015-03-12,0.65
2017-12-14,0.718
2019-06-13,0.793
2000-12-13,0.3
2002-06-12,0.3
2009-03-12,0.385
2014-12-11,0.618
2017-09-14,0.718
1996-06-12,0.34
2000-09-13,0.3
2002-03-13,0.3
2017-06-13,0.718
2006-12-13,0.33
2009-06-11,0.385
2013-09-12,0.583
1996-09-11,0.34
1998-03-11,0.34
2010-12-13,0.458
2010-03-11,0.435
2005-06-13,0.33
2018-06-14,0.755
2018-12-13,0.755
2006-03-13,0.33
2001-06-13,0.3
2001-12-12,0.3
