Date,Dividends
2006-02-07,0.035
2002-08-14,0.01833
1997-11-06,0.00667
1998-05-07,0.00917
1998-08-12,0.00917
1997-02-06,0.00667
2013-11-06,0.08333
2011-05-12,0.06433
2014-02-13,0.1
2010-10-22,0.05667
2007-05-10,0.03833
2007-08-17,0.03833
2020-05-20,0.225
2016-08-31,0.14
2014-08-28,0.1
1997-05-08,0.00667
1997-08-13,0.00667
1998-11-05,0.00917
2003-02-06,0.02333
2014-05-13,0.1
1998-02-05,0.00917
2014-11-05,0.1
2009-10-23,0.046
2000-08-15,0.0125
2003-11-06,0.02333
2013-05-21,0.08333
2017-05-19,0.163
1995-11-08,0.00333
1996-08-13,0.005
2017-02-13,0.163
2004-04-30,0.02833
2009-08-18,0.046
2015-11-04,0.117
2018-09-04,0.18
1995-02-02,0.00333
2008-02-13,0.04167
2001-08-22,0.015
2012-02-09,0.07167
2005-08-18,0.03333
1999-08-17,0.01083
2016-05-16,0.14
2003-05-08,0.02333
2004-11-04,0.02833
2018-02-14,0.18
2012-08-23,0.07167
1995-08-09,0.00333
2009-02-11,0.046
2008-05-08,0.04167
2008-08-15,0.04167
2006-05-04,0.035
2015-05-19,0.117
2019-05-15,0.2
2018-10-25,0.18
2011-08-22,0.06433
2002-02-08,0.01833
2019-02-13,0.2
2001-11-05,0.015
2002-05-06,0.01833
2004-01-06,0.02833
2006-10-27,0.035
2010-02-10,0.05667
2002-11-06,0.01833
2007-02-07,0.03833
2005-05-05,0.03333
2017-10-26,0.163
2020-02-12,0.225
2001-05-07,0.015
2018-05-02,0.18
2010-08-17,0.05667
2010-05-14,0.05667
2015-02-13,0.117
2019-09-03,0.2
2015-08-28,0.117
2005-10-28,0.03333
2011-02-09,0.06433
2006-08-17,0.035
2004-08-12,0.02833
2013-08-29,0.08333
2016-10-26,0.14
1996-05-09,0.005
1999-11-05,0.01083
2000-05-05,0.0125
2004-02-06,0.02833
1999-02-05,0.01083
2009-05-14,0.046
2016-02-12,0.14
2012-10-30,0.07167
2008-10-24,0.04167
2003-08-14,0.02333
2016-05-17,0.14
1996-11-07,0.005
2019-10-24,0.2
1999-05-07,0.01083
2000-11-03,0.0125
2001-02-08,0.015
2012-05-15,0.07167
2005-02-04,0.03333
2017-08-31,0.163
1995-05-05,0.00333
1996-02-08,0.005
2000-02-04,0.0125
2013-02-14,0.08333
2007-10-26,0.03833
2011-10-24,0.06433
